"B18","B19","SH","EP","LJ","SS","FP","WR","JP","WW","SR","NI","SP","WB","TI","time","year","month"
-6.91800022125244,-8.52000045776367,-9.13400077819824,-6.66300010681152,-7.7160005569458,-5.96300029754639,-7.03500032424927,-7.32100057601929,-6.50600051879883,-4.7000002861023,-5.42100048065186,-12.5840005874634,-11.0520009994507,-8.21100044250488,-10.9670009613037,"191612","1916","12"
-5.78000020980835,-7.55500030517578,-8.375,-6.08500051498413,-6.77800035476685,-4.83800029754639,-5.89800024032593,-6.4850001335144,-5.95400047302246,-2.89800024032593,-5.0460000038147,-11.492000579834,-10.7640008926392,-7.58200025558472,-10.9850006103516,"191701","1917","01"
-3.52000021934509,-5.43200016021729,-5.82900047302246,-3.45500016212463,-4.49200010299683,-2.67100024223328,-3.67100024223328,-3.95600008964539,-3.68100023269653,-0.527999997138977,-2.95000004768372,-8.86700057983398,-7.70600032806396,-4.88300037384033,-7.55900049209595,"191702","1917","02"
-4.14700031280518,-5.74900007247925,-6.79400014877319,-4.81700038909912,-5.0770001411438,-3.03500008583069,-4.16800022125244,-4.5,-4.04400014877319,-1.69500005245209,-3.31500005722046,-9.32300090789795,-8.48700046539307,-6.02700042724609,-8.51300048828125,"191703","1917","03"
1.42200005054474,-0.315000027418137,-0.88100004196167,1.07800006866455,0.282000005245209,2.4210000038147,1.55400002002716,1.16600000858307,1.49300003051758,4.05200004577637,1.72800004482269,-3.43200016021729,-1.78200006484985,-0.111000008881092,-2.03500008583069,"191704","1917","04"
3.94300007820129,1.87000012397766,1.87100005149841,4.014000415802,2.98000025749207,4.57800006866455,3.60400009155273,4.07100009918213,4.18400001525879,7.14300012588501,4.04900026321411,-0.549000024795532,1.64800012111664,2.60600018501282,2.33700013160706,"191705","1917","05"
11.863000869751,9.72600078582764,9.76700019836426,12.0460004806519,10.9980001449585,12.6330003738403,11.6040000915527,12.0570001602173,12.2980003356934,15.2440004348755,11.8160009384155,6.57600021362305,8.77500057220459,10.496000289917,9.23600006103516,"191706","1917","06"
16.9050006866455,14.8860006332397,14.4580011367798,16.6590003967285,15.8620004653931,18.0480003356934,16.8700008392334,16.121000289917,16.3020000457764,19.5160007476807,16.6190013885498,11.7930002212524,13.452000617981,15.1700010299683,14.6080007553101,"191707","1917","07"
14.814001083374,12.729001045227,12.403000831604,14.6710004806519,13.6670007705688,15.6840009689331,14.6640005111694,13.3860006332397,13.5670003890991,16.4930000305176,13.7790002822876,9.67700004577637,11.3410005569458,13.2760009765625,12.0820007324219,"191708","1917","08"
12.3830003738403,10.5450000762939,10.8410005569458,13.0620002746582,11.7980003356934,13.3390007019043,12.2950010299683,11.943000793457,12.1810007095337,14.9580011367798,12.2080001831055,7.69300031661987,9.28900051116943,11.1710004806519,9.70000076293945,"191709","1917","09"
