"","B18","B19","EP","FP","JP","LJ","NI","SH","SR","SS","SP","TI","WR","WW","WB"
"1721",2.393,2.393,2.393,2.342,2.517,2.393,1.313,1.313,3.03,2.342,1.313,1.093,2.517,2.517,1.313
"1722",-0.036,-0.036,-0.036,-0.088,-0.007,-0.036,-0.124,-0.124,0.071,-0.088,-0.124,-0.483,-0.007,-0.007,-0.124
"1723",-0.253,-0.253,-0.253,-0.056,0.16,-0.253,-0.195,-0.195,0.199,-0.056,-0.195,-0.158,0.16,0.16,-0.195
"1724",-0.187,-0.187,-0.187,0.138,0.41,-0.187,-0.156,-0.156,0.589,0.138,-0.156,-0.193,0.41,0.41,-0.156
"1725",1.421,1.421,1.421,1.449,1.398,1.421,0.956,0.956,1.527,1.449,0.956,1.351,1.398,1.398,0.956
"1726",5.491,5.491,5.491,4.782,4.244,5.491,3.706,3.706,4.497,4.782,3.706,4.584,4.244,4.244,3.706
"1727",1.986,1.986,1.986,1.56,1.245,1.986,1.514,1.514,1.1,1.56,1.514,2.161,1.245,1.245,1.514
"1728",0.16,0.16,0.16,-0.064,-0.213,0.16,-0.003,-0.003,-0.057,-0.064,-0.003,0.063,-0.213,-0.213,-0.003
"1729",-3.113,-3.113,-3.113,-3.589,-3.987,-3.113,-2.117,-2.117,-4.235,-3.589,-2.117,-2.302,-3.987,-3.987,-2.117
"1730",-3.139,-3.139,-3.139,-3.016,-3.053,-3.139,-1.909,-1.909,-3.594,-3.016,-1.909,-1.998,-3.053,-3.053,-1.909
"1731",-1.244,-1.244,-1.244,-1.022,-0.805,-1.244,-0.856,-0.856,-0.905,-1.022,-0.856,-1.004,-0.805,-0.805,-0.856
"1732",-0.183,-0.183,-0.183,-0.068,0.055,-0.183,-0.126,-0.126,0.102,-0.068,-0.126,-0.219,0.055,0.055,-0.126
"1733",-0.164,-0.164,-0.164,-0.41,-0.659,-0.164,-0.012,-0.012,-0.776,-0.41,-0.012,0.407,-0.659,-0.659,-0.012
"1734",3.476,3.476,3.476,2.987,2.577,3.476,2.447,2.447,2.649,2.987,2.447,2.956,2.577,2.577,2.447
"1735",-2.968,-2.968,-2.968,-2.775,-2.624,-2.968,-1.996,-1.996,-2.751,-2.775,-1.996,-2.458,-2.624,-2.624,-1.996
"1736",-3.602,-3.602,-3.602,-2.525,-1.637,-3.602,-2.511,-2.511,-1.811,-2.525,-2.511,-3.226,-1.637,-1.637,-2.511
"1737",-2.063,-2.063,-2.063,-2.132,-2.293,-2.063,-1.357,-1.357,-2.536,-2.132,-1.357,-1.466,-2.293,-2.293,-1.357
